id_partido,fase,equipo_a,equipo_b
73,16avos,Sudafrica,Canada
74,16avos,Alemania,Paraguay
75,16avos,Holanda,Marruecos
76,16avos,Brasil,Japon
77,16avos,Francia,Suecia
78,16avos,Costa de Marfil,Noruega
79,16avos,Mexico,Ecuador
80,16avos,Inglaterra,Congo
81,16avos,Estados Unidos,Bosnia
82,16avos,Belgica,Senegal
83,16avos,Portugal,Croacia
84,16avos,España,Austria
85,16avos,Suiza,Argelia
86,16avos,Argentina,Cabo Verde
87,16avos,Colombia,Ghana
88,16avos,Australia,Egipto
